interval_order,interval,interval_start,interval_end,season_order,season,absolute_value,display_value,display_value_type,display_unit,normalized_value,movement_percent,is_baseline
1,1995-1999,1995,1999,1,winter,0.90,0.90,absolute_temperature,degC,0.000,0,true
1,1995-1999,1995,1999,2,spring,8.35,8.35,absolute_temperature,degC,0.000,0,true
1,1995-1999,1995,1999,3,summer,17.01,17.01,absolute_temperature,degC,0.000,0,true
1,1995-1999,1995,1999,4,autumn,8.67,8.67,absolute_temperature,degC,0.000,0,true
1,1995-1999,1995,1999,5,annual_mean,8.73,8.73,absolute_temperature,degC,0.000,,true
2,2000-2004,2000,2004,1,winter,1.45,0.55,difference_from_1995_1999,degC,0.235,20,false
2,2000-2004,2000,2004,2,spring,9.06,0.71,difference_from_1995_1999,degC,0.306,30,false
2,2000-2004,2000,2004,3,summer,17.65,0.64,difference_from_1995_1999,degC,0.275,30,false
2,2000-2004,2000,2004,4,autumn,9.31,0.64,difference_from_1995_1999,degC,0.275,25,false
2,2000-2004,2000,2004,5,annual_mean,9.37,0.64,difference_from_1995_1999,degC,0.273,,false
3,2005-2009,2005,2009,1,winter,1.43,0.53,difference_from_1995_1999,degC,0.228,20,false
3,2005-2009,2005,2009,2,spring,9.09,0.74,difference_from_1995_1999,degC,0.317,30,false
3,2005-2009,2005,2009,3,summer,17.32,0.31,difference_from_1995_1999,degC,0.135,10,false
3,2005-2009,2005,2009,4,autumn,9.84,1.17,difference_from_1995_1999,degC,0.500,50,false
3,2005-2009,2005,2009,5,annual_mean,9.42,0.69,difference_from_1995_1999,degC,0.295,,false
4,2010-2014,2010,2014,1,winter,0.58,-0.32,difference_from_1995_1999,degC,-0.139,-10,false
4,2010-2014,2010,2014,2,spring,8.87,0.52,difference_from_1995_1999,degC,0.225,20,false
4,2010-2014,2010,2014,3,summer,17.30,0.29,difference_from_1995_1999,degC,0.123,10,false
4,2010-2014,2010,2014,4,autumn,9.58,0.91,difference_from_1995_1999,degC,0.389,40,false
4,2010-2014,2010,2014,5,annual_mean,9.08,0.35,difference_from_1995_1999,degC,0.149,,false
5,2015-2019,2015,2019,1,winter,2.16,1.26,difference_from_1995_1999,degC,0.540,50,false
5,2015-2019,2015,2019,2,spring,9.22,0.87,difference_from_1995_1999,degC,0.371,40,false
5,2015-2019,2015,2019,3,summer,18.52,1.51,difference_from_1995_1999,degC,0.646,60,false
5,2015-2019,2015,2019,4,autumn,9.87,1.20,difference_from_1995_1999,degC,0.516,50,false
5,2015-2019,2015,2019,5,annual_mean,9.94,1.21,difference_from_1995_1999,degC,0.518,,false
6,2020-2024,2020,2024,1,winter,3.23,2.33,difference_from_1995_1999,degC,1.000,100,false
6,2020-2024,2020,2024,2,spring,9.02,0.67,difference_from_1995_1999,degC,0.288,30,false
6,2020-2024,2020,2024,3,summer,18.46,1.45,difference_from_1995_1999,degC,0.623,60,false
6,2020-2024,2020,2024,4,autumn,10.63,1.96,difference_from_1995_1999,degC,0.840,80,false
6,2020-2024,2020,2024,5,annual_mean,10.34,1.61,difference_from_1995_1999,degC,0.688,,false
